name,company,location_type,job_type,posting_date,application_link,location,description
"Intern, Marketing",Miami,On-site,Internship,2 weeks ago,https://www.linkedin.com/jobs/view/intern-marketing-at-miami-heat-4282321898?position=3&pageNum=0&refId=S6nBmhd36vew0vNm1FdIgw%3D%3D&trackingId=x1RK8s4PXCwmryovcSzmBQ%3D%3D,"Miami, FL","Job at Miami in Miami, FL"
BOTTEGA VENETA Private Client Intern,Bottega,On-site,Internship,1 week ago,https://www.linkedin.com/jobs/view/bottega-veneta-private-client-intern-at-bottega-veneta-4288461609?position=4&pageNum=0&refId=S6nBmhd36vew0vNm1FdIgw%3D%3D&trackingId=gO3LlulfvPELCa5dx1mzwg%3D%3D,"New York, NY","Job at Bottega in New York, NY"
Client Insights Intern - Fall 2025,Louis,On-site,Internship,3 days ago,https://www.linkedin.com/jobs/view/client-insights-intern-fall-2025-at-louis-vuitton-4290261890?position=5&pageNum=0&refId=S6nBmhd36vew0vNm1FdIgw%3D%3D&trackingId=v4ByppEY%2BrEFURXStkCKEQ%3D%3D,"New York, NY","Job at Louis in New York, NY"
TMZ Social Media Intern - Fall 2025,TMZ,On-site,Internship,4 weeks ago,https://www.linkedin.com/jobs/view/tmz-social-media-intern-fall-2025-at-tmz-4277872414?position=6&pageNum=0&refId=S6nBmhd36vew0vNm1FdIgw%3D%3D&trackingId=krHPPRgwJY3by7UzlDeFWQ%3D%3D,"Los Angeles, CA","Job at TMZ in Los Angeles, CA"
Client Relations Intern - Fall 2025,Louis,On-site,Internship,2 weeks ago,https://www.linkedin.com/jobs/view/client-relations-intern-fall-2025-at-louis-vuitton-4283496940?position=7&pageNum=0&refId=S6nBmhd36vew0vNm1FdIgw%3D%3D&trackingId=k8pmgw1%2BCMUljoZDT8HE6Q%3D%3D,"New York, NY","Job at Louis in New York, NY"
Concerts & Events Social Media Intern,Phoenix,On-site,Internship,5 days ago,https://www.linkedin.com/jobs/view/concerts-events-social-media-intern-at-phoenix-suns-4289367502?position=8&pageNum=0&refId=S6nBmhd36vew0vNm1FdIgw%3D%3D&trackingId=hwdxzB4lAEYQw3XyV6yb%2BQ%3D%3D,"Phoenix, AZ","Job at Phoenix in Phoenix, AZ"
Product Marketing Intern,Miami,On-site,Internship,3 weeks ago,https://www.linkedin.com/jobs/view/product-marketing-intern-at-miami-heat-4280465574?position=9&pageNum=0&refId=S6nBmhd36vew0vNm1FdIgw%3D%3D&trackingId=bC%2BpuvoRX5lv6015grSCxQ%3D%3D,"Miami, FL","Job at Miami in Miami, FL"
Quantitative Analyst Intern,Talos,On-site,Internship,3 weeks ago,https://www.linkedin.com/jobs/view/quantitative-analyst-intern-at-talos-4279257751?position=10&pageNum=0&refId=S6nBmhd36vew0vNm1FdIgw%3D%3D&trackingId=BuzlPXiyp8uajToFAxG49Q%3D%3D,"New York, United States","Job at Talos in New York, United States"
"Intern, Social Commerce",BEAUTY,On-site,Internship,5 days ago,https://www.linkedin.com/jobs/view/intern-social-commerce-at-e-l-f-beauty-4289307127?position=11&pageNum=0&refId=S6nBmhd36vew0vNm1FdIgw%3D%3D&trackingId=OVAKCDZU%2F8BtfMYlxEr5Yg%3D%3D,"Oakland, CA","Job at BEAUTY in Oakland, CA"
"Social, Influencer, and Marketing Intern, NOYZ",BEACH,On-site,Internship,1 week ago,https://www.linkedin.com/jobs/view/social-influencer-and-marketing-intern-noyz-at-beach-house-group-4284511095?position=12&pageNum=0&refId=S6nBmhd36vew0vNm1FdIgw%3D%3D&trackingId=izu2ynRXgO%2FczsA%2B29hhtg%3D%3D,"Los Angeles, CA","Job at BEACH in Los Angeles, CA"
